MatchNumber,RoundNumber,Location,Date,Home_Team,Away_Team
1,1,stadium,8/21/2021,Aldershot,Chesterfield
2,1,stadium,8/21/2021,Barnet,Notts County
3,1,stadium,8/21/2021,Bromley,Grimsby
4,1,stadium,8/21/2021,Dover Athletic,Solihull
5,1,stadium,8/21/2021,Halifax,Maidenhead
6,1,stadium,8/21/2021,Kings Lynn,Southend
7,1,stadium,8/21/2021,Stockport,Dag and Red
8,1,stadium,8/21/2021,Torquay,Altrincham
9,1,stadium,8/21/2021,Wealdstone,Woking
10,1,stadium,8/21/2021,Weymouth,Boreham Wood
11,1,stadium,8/21/2021,Wrexham,Yeovil
12,1,stadium,8/28/2021,Boreham Wood,Aldershot
13,1,stadium,8/28/2021,Chesterfield,Wealdstone
14,1,stadium,8/28/2021,Dag and Red,Bromley
15,1,stadium,8/28/2021,Eastleigh,Wrexham
16,1,stadium,8/28/2021,Grimsby,Weymouth
17,1,stadium,8/28/2021,Maidenhead,Dover Athletic
18,1,stadium,8/28/2021,Notts County,Torquay
19,1,stadium,8/28/2021,Solihull,Barnet
20,1,stadium,8/28/2021,Southend,Stockport
21,1,stadium,8/28/2021,Woking,Halifax
22,1,stadium,8/28/2021,Yeovil,Kings Lynn
23,1,stadium,8/30/2021,Aldershot,Yeovil
24,1,stadium,8/30/2021,Barnet,Dag and Red
25,1,stadium,8/30/2021,Bromley,Eastleigh
26,1,stadium,8/30/2021,Dover Athletic,Boreham Wood
27,1,stadium,8/30/2021,Halifax,Altrincham
28,1,stadium,8/30/2021,Kings Lynn,Chesterfield
29,1,stadium,8/30/2021,Stockport,Grimsby
30,1,stadium,8/30/2021,Torquay,Woking
31,1,stadium,8/30/2021,Wealdstone,Southend
32,1,stadium,8/30/2021,Weymouth,Maidenhead
33,1,stadium,8/30/2021,Wrexham,Notts County
34,1,stadium,9/4/2021,Altrincham,Dover Athletic
35,1,stadium,9/4/2021,Boreham Wood,Stockport
36,1,stadium,9/4/2021,Chesterfield,Bromley
37,1,stadium,9/4/2021,Dag and Red,Wealdstone
38,1,stadium,9/4/2021,Eastleigh,Kings Lynn
39,1,stadium,9/4/2021,Grimsby,Barnet
40,1,stadium,9/4/2021,Maidenhead,Torquay
41,1,stadium,9/4/2021,Notts County,Aldershot
42,1,stadium,9/4/2021,Solihull,Weymouth
43,1,stadium,9/4/2021,Southend,Wrexham
44,1,stadium,9/4/2021,Yeovil,Halifax
45,1,stadium,9/11/2021,Aldershot,Solihull
46,1,stadium,9/11/2021,Barnet,Eastleigh
47,1,stadium,9/11/2021,Bromley,Boreham Wood
48,1,stadium,9/11/2021,Dover Athletic,Chesterfield
49,1,stadium,9/11/2021,Halifax,Southend
50,1,stadium,9/11/2021,Kings Lynn,Dag and Red
51,1,stadium,9/11/2021,Stockport,Yeovil
52,1,stadium,9/11/2021,Torquay,Grimsby
53,1,stadium,9/11/2021,Wealdstone,Altrincham
54,1,stadium,9/11/2021,Weymouth,Notts County
55,1,stadium,9/11/2021,Wrexham,Woking
56,1,stadium,9/14/2021,Altrincham,Kings Lynn
57,1,stadium,9/14/2021,Boreham Wood,Halifax
58,1,stadium,9/14/2021,Chesterfield,Barnet
59,1,stadium,9/14/2021,Dag and Red,Weymouth
60,1,stadium,9/14/2021,Eastleigh,Dover Athletic
61,1,stadium,9/14/2021,Grimsby,Wrexham
62,1,stadium,9/14/2021,Maidenhead,Stockport
63,1,stadium,9/14/2021,Notts County,Wealdstone
64,1,stadium,9/14/2021,Solihull,Torquay
65,1,stadium,9/14/2021,Southend,Aldershot
66,1,stadium,9/14/2021,Woking,Bromley
67,1,stadium,9/18/2021,Bromley,Barnet
68,1,stadium,9/18/2021,Halifax,Stockport
69,1,stadium,9/18/2021,Grimsby,Eastleigh
70,1,stadium,9/18/2021,Notts County,Maidenhead
71,1,stadium,9/18/2021,Solihull,Boreham Wood
72,1,stadium,9/18/2021,Torquay,Southend
73,1,stadium,9/18/2021,Wealdstone,Aldershot
74,1,stadium,9/18/2021,Weymouth,Dover Athletic
75,1,stadium,9/18/2021,Woking,Chesterfield
76,1,stadium,9/18/2021,Wrexham,Dag and Red
77,1,stadium,9/18/2021,Yeovil,Altrincham
78,1,stadium,9/25/2021,Aldershot,Halifax
79,1,stadium,9/25/2021,Altrincham,Notts County
80,1,stadium,9/25/2021,Barnet,Weymouth
81,1,stadium,9/25/2021,Boreham Wood,Yeovil
82,1,stadium,9/25/2021,Chesterfield,Torquay
83,1,stadium,9/25/2021,Dag and Red,Solihull
84,1,stadium,9/25/2021,Dover Athletic,Bromley
85,1,stadium,9/25/2021,Eastleigh,Woking
86,1,stadium,9/25/2021,Kings Lynn,Wealdstone
87,1,stadium,9/25/2021,Maidenhead,Grimsby
88,1,stadium,9/25/2021,Stockport,Wrexham
89,1,stadium,10/2/2021,Aldershot,Wrexham
90,1,stadium,10/2/2021,Barnet,Halifax
91,1,stadium,10/2/2021,Chesterfield,Yeovil
92,1,stadium,10/2/2021,Dag and Red,Altrincham
93,1,stadium,10/2/2021,Eastleigh,Boreham Wood
94,1,stadium,10/2/2021,Grimsby,Dover Athletic
95,1,stadium,10/2/2021,Maidenhead,Kings Lynn
96,1,stadium,10/2/2021,Notts County,Woking
97,1,stadium,10/2/2021,Solihull,Southend
98,1,stadium,10/2/2021,Torquay,Wealdstone
99,1,stadium,10/2/2021,Weymouth,Stockport
100,1,stadium,10/5/2021,Altrincham,Grimsby
101,1,stadium,10/5/2021,Boreham Wood,Torquay
102,1,stadium,10/5/2021,Bromley,Weymouth
103,1,stadium,10/5/2021,Dover Athletic,Aldershot
104,1,stadium,10/5/2021,Halifax,Notts County
105,1,stadium,10/5/2021,Kings Lynn,Barnet
106,1,stadium,10/5/2021,Southend,Eastleigh
107,1,stadium,10/5/2021,Wealdstone,Solihull
108,1,stadium,10/5/2021,Woking,Dag and Red
109,1,stadium,10/5/2021,Wrexham,Chesterfield
110,1,stadium,10/5/2021,Yeovil,Maidenhead
