"","01/03/2021","01/11/2020","01/12/2020","02/10/2020","02/11/2020","02/12/2020","03/04/2021","03/10/2020","03/12/2020","04/04/2021","04/10/2020","04/12/2020","05/02/2021","05/03/2021","05/04/2021","05/12/2020","06/01/2021","06/02/2021","06/03/2021","06/11/2020","06/12/2020","07/02/2021","07/03/2021","07/11/2020","07/12/2020","08/03/2021","08/08/2020","08/11/2020","08/12/2020","09/01/2021","09/08/2020","10/01/2021","10/08/2020","11/01/2021","11/09/2020","11/12/2020","12/01/2021","12/02/2021","12/03/2021","12/09/2020","12/12/2020","13/01/2021","13/02/2021","13/09/2020","13/12/2020","14/02/2021","14/08/2020","14/09/2020","15/01/2021","15/02/2021","15/03/2021","15/08/2020","15/12/2020","16/01/2021","16/08/2020","16/12/2020","17/01/2021","17/02/2021","17/08/2020","17/10/2020","17/12/2020","18/09/2020","18/10/2020","18/12/2020","19/01/2021","19/02/2021","19/03/2021","19/09/2020","19/12/2020","20/01/2021","20/02/2021","20/03/2021","20/09/2020","20/12/2020","21/01/2021","21/02/2021","21/03/2021","21/08/2020","21/09/2020","21/11/2020","22/01/2021","22/02/2021","22/08/2020","22/11/2020","23/01/2021","23/08/2020","23/10/2020","23/11/2020","24/01/2021","24/08/2020","24/10/2020","24/11/2020","25/09/2020","25/10/2020","25/11/2020","26/01/2021","26/02/2021","26/09/2020","26/10/2020","26/12/2020","27/01/2021","27/02/2021","27/09/2020","27/11/2020","27/12/2020","28/01/2021","28/02/2021","28/08/2020","28/09/2020","28/11/2020","29/01/2021","29/08/2020","29/11/2020","29/12/2020","30/01/2021","30/08/2020","30/10/2020","30/11/2020","30/12/2020","31/01/2021","31/10/2020"
"Anderlecht","","1","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","2","","","","","","","","","3","","4","","","","","","","","4","","3","","","","","","","","","","","2","5","","","","0","","","","","2","","","","","","","","","","","","","","","","","2","","2","","","","","","","","0","","","","","","","0",""
"Antwerp","","","","5","","","","","","","","","","","5","","","","6","","","","","","","","2","2","","","","","","","","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","4","","","0","","","","","","","1","","3","","","","","","","","","5","","","","","","","","","","","3","","","","","","5","","","","","","","5","","",""
"Beerschot VA","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","2","","","","","","","","","","2","","","","3","","7","","","","","","","4","","3","","","9","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","5","","","0","","","","","","4","","","","","","","","","3","","","","","6"
"Cercle Brugge","","","","","","","","","","3","","","","","","","","1","","","","","","","","","","4","","3","","","","","","","","","","","1","","","","","0","","","","","","","7","","3","","1","","","7","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","3","","","","","","","2","","","","3","","","","6","","1","","","","","","","","",""
"Charleroi","","","","","","2","","","","2","3","","","0","","","","","","","","2","","","0","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","1","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","3","","","","2","","","","","","","","","","","","","","","2","","","","","3"
"Club Brugge","","","","","","","","","","","3","","","","","1","","","","","","","3","","","","1","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","1","","","2","","","1","","3","","","","1","","","5","","","","","","","","","","","3","","","3","","","","","","","","","","","","","","","","","4","4"
"Eupen","","","","","","","","3","2","","","","","","","","5","","6","","","","","2","","","","","","","","","","","3","","","","","","","","","","","","","","2","","","","","","4","","","","","","","","","","","","","","","4","2","2","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","4","","","","","","","","2","","5","2","","","","","",""
"Genk","","","","","","","","","","","","","","","","","","","","","6","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","3","","","","4","","2","","","","4","","2","3","","","","","","","","5","","","","","","","","","","","","","","","","","5","","","","2","","","","4","","","","","","","3","4","","","",""
"Gent","","","","","","","","","","","6","","","","","","","","","","","4","","","","1","","2","","","","","","","","","","","","","","","","","3","","","","","4","4","3","","","","3","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","5","3","","2","","","","","","","","","","","","3","","","1","","","","",""
"Kortrijk","","","","","","","3","","","","","","","","","","","","","","","","","10","","","","","","3","4","","","","","","","","","","3","","","3","","","","","","","","","","","","3","","","","","","","","","","","","","","2","","","","","","","","0","","","","","","","3","","4","","","","","","4","","","","","","","1","","3","","","","","","","","","","","4","","4","","","","","",""
"Mechelen","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","4","3","","","","","","","","1","","","","","5","","","","","","","","","","","","","","","3","3","","","","","2","","","","4","","","","","","","4","","","","","","5","","3","","","","","","","","","","","","","2","","","","","","","3","","","","","","","","5","","0","","","","","",""
"Mouscron","","","5","","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","","","","","","","4","","","","","","1","","","","","","4","2","","","","","","","","","2","","2","","","1","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","2","","","","","","","0","","1","","","","","","","","",""
"Oostende","","","","","","","2","","","","3","","","","","","","4","","","3","","","","","","","4","","5","","","3","","","","2","","","","","","","","","","","","","","","","","3","","","","4","","","","","","","","","","4","","","","","","","","","","","","2","","","","","","","","","","","","","","3","","","","","","","","2","","","","4","","4","","","","","","","","","","","","",""
"Oud-Heverlee Leuven","2","","","","","","","3","","","","","","","5","3","","","","","","","","","","","","","2","","","1","2","","","","","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","4","","","","","4","3","","3","","","","","","","","","3","","","","","","","","","","","","","","","1","","","","","",""
"St Truiden","","","","","","","3","0","","","","","","","","","","","","","","","","3","","","","","","","3","3","","","","","","","","","3","","3","5","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","0","","","","2","","","","","","","","","","","","","2","","","2","","","","","","","","","1","3",""
"Standard","","1","","","","","","","","3","","","","","","","","2","","","4","","","","","","1","","","","","","","4","","","","","","","","","","","","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","3","1","","","","","","4","","","","","","0","","","5","","","","","","","","","","","3","","","4","","","","4","","","","","","","","","","","","","",""
"Waasland-Beveren","","5","","","","","","2","","","","","","","","2","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","1","3","","","","","","","","","6","","","2","","","3","","","","","","2","","","","","","","","","","","","2","","","","5","","","","","","","","","","","","","","","","4","","","","","","","","",""
"Waregem","","","","","2","","","","","","","4","","","3","","","","","","","","","","","","","","","1","3","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","4","","","","","","2","","","","6","","5","5","","","","","","","5","3","","","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","3",""
